x,vel
23.0,0.4258909093333333
23.22,0.42505197599999994
23.439999999999998,0.4230613093333333
23.659999999999997,0.42045277600000003
23.879999999999995,0.41898610933333336
24.099999999999994,0.41725250933333335
24.319999999999993,0.41996906933333333
24.540000000000006,0.42186117600000006
24.760000000000005,0.425437976
25.200000000000003,0.42145184266666663
25.42,0.416618056
25.64,0.4097546666666666
25.86,0.40333549333333335
26.08,0.39809176
26.299999999999997,0.3959509600000001
26.519999999999996,0.3972305066666667
26.739999999999995,0.40310954666666665
26.959999999999994,0.4107658906666666
27.180000000000007,0.41548055733333333
27.400000000000006,0.41422989066666666
27.620000000000005,0.4163427706666667
27.840000000000003,0.416116104
28.060000000000002,0.41440517066666666
28.28,0.4118187706666666
28.5,0.4094062373333333
28.72,0.40770570399999995
28.939999999999998,0.4059651706666667
29.159999999999997,0.404649704
29.379999999999995,0.4043347706666666
29.599999999999994,0.401149704
29.819999999999993,0.3965846373333334
30.040000000000006,0.39059663733333333
30.260000000000005,0.38175517066666675
31.14,0.37527943733333335
31.36,0.3709386373333333
31.58,0.36859410400000003
31.799999999999997,0.3673287706666667
32.019999999999996,0.3662346373333333
32.239999999999995,0.364765304
32.459999999999994,0.362864504
32.68000000000001,0.3605650373333334
32.900000000000006,0.3585858373333333
33.120000000000005,0.360631704
33.56,0.35893730399999996
33.78,0.3568111706666667
34.0,0.3539546373333333
34.22,0.35096717066666666
34.44,0.3485925040000001
34.66,0.34670957066666663
34.879999999999995,0.3461063706666666
35.099999999999994,0.34720823733333334
35.31999999999999,0.35088610400000003
35.540000000000006,0.35672930399999997
35.760000000000005,0.36358282399999997
35.980000000000004,0.37055082400000006
36.2,0.3749222906666667
36.42,0.378470824
36.64,0.3812833573333333
36.86,0.38378895733333335
37.08,0.38689295733333334
37.3,0.38655242399999995
37.52,0.3867638906666666
37.74,0.38738495733333334
37.96,0.388356424
38.18,0.38925322399999995
38.4,0.38771722399999997
38.62,0.3822697573333333
39.28,0.3770095973333333
39.5,0.37459263733333337
39.72,0.374732104
39.94,0.377056904
40.16,0.38027981066666666
40.38,0.3840346906666666
40.6,0.38624797066666666
40.82,0.3875071973333334
41.04,0.38853546400000005
41.26,0.38973359733333335
41.48,0.39002079733333334
41.7,0.3876627973333333
41.92,0.3857928773333334
42.14,0.38435031733333325
42.36,0.38323893066666664
42.58,0.38199999733333334
42.8,0.37848053066666665
43.02,0.38184826400000005
43.24,0.3844171706666667
44.12,0.384074704
44.34,0.3822454906666667
44.56,0.37991189066666664
44.78,0.377384184
45.44,0.37410230133333333
45.66,0.369503928
45.88,0.3635560613333333
46.1,0.35833707466666664
46.32,0.3550685413333333
46.54,0.35344320799999995
46.76,0.35161624799999996
46.98,0.3488240346666666
47.2,0.34620391733333333
47.42,0.3451227973333333
47.64,0.34608573066666665
47.86,0.34847853066666656
48.08,0.349126264
48.3,0.3469867973333334
48.52,0.34405373066666667
48.74,0.33936765066666663
48.96,0.3348680506666667
49.18,0.334091168
49.4,0.33575996799999996
49.62,0.3340237013333333
49.84,0.33043623466666666
50.06,0.32604690133333336
50.28,0.3225317013333333
50.5,0.3204858346666667
50.72,0.3187306346666667
50.94,0.317219968
51.16,0.3155557013333333
51.38,0.30949596799999995
51.6,0.306389568
51.82,0.30377330133333336
52.04,0.3016034346666666
52.26,0.299437568
52.48,0.29756850133333335
52.7,0.29615863466666664
52.92,0.2953725013333333
53.14,0.295175968
53.36,0.294343968
53.58,0.29171090133333333
53.8,0.28839303466666666
54.02,0.2850970346666667
54.24,0.28219970133333333
54.46,0.2797994346666667
54.68,0.278079968
54.9,0.27642450133333335
55.12,0.2737221013333333
55.34,0.26928930133333334
55.56,0.26628343466666665
55.78,0.26457276799999996
56.44,0.2627365013333333
56.66,0.2628525013333333
56.88,0.2629069013333333
57.1,0.2616507946666667
57.76,0.26089049066666664
57.98,0.259669264
58.2,0.2573911573333333
58.42,0.25536609066666666
58.64,0.254684224
58.86,0.254980224
59.08,0.2560967573333333
59.3,0.25716689066666665
59.52,0.25769222399999997
59.74,0.258143424
59.96,0.26264609066666667
60.4,0.26512995733333333
60.62,0.2682516106666667
60.84,0.2711197706666667
61.06,0.273213824
61.28,0.27477809066666664
61.5,0.2760383573333333
61.72,0.277093824
61.94,0.27962697066666664
62.6,0.27913909333333337
62.82,0.27922017466666665
63.04,0.28038980133333335
63.26,0.28228409466666665
63.48,0.285362244
63.7,0.29025955066666664
63.92,0.294134884
64.14,0.29661947066666666
64.36,0.29859413733333334
64.58,0.3006237373333333
64.8,0.303964564
65.02000000000001,0.30877437733333335
65.24000000000001,0.31402089466666666
65.46000000000001,0.31781374799999995
65.68,0.31960574799999997
65.9,0.32009188133333333
66.12,0.32088388133333334
66.34,0.321657748
66.56,0.32367188133333336
66.78,0.327515828
67.0,0.331395428
67.22,0.3338195106666667
67.44,0.33168457733333334
67.66,0.33248644400000005
67.88,0.3336805773333333
68.1,0.3342989773333333
68.32,0.334048844
68.53999999999999,0.332869644
68.76,0.3322915106666666
68.98,0.33343497733333327
69.2,0.3362563106666666
69.42,0.3365965773333333
69.64,0.331326452
69.86,0.3253606653333333
70.08,0.3227846653333334
70.3,0.3220915986666667
70.52,0.32242919866666664
70.74,0.321362532
70.96000000000001,0.318114532
71.18,0.316832932
71.4,0.32005079866666664
71.62,0.321266532
71.84,0.32198919866666664
72.06,0.322779332
72.28,0.3232675986666667
72.5,0.3230198653333333
72.72,0.319862292
73.38,0.315263012
73.6,0.31132450533333333
73.82,0.3084985586666667
74.03999999999999,0.307536692
74.26,0.3072260253333333
74.48,0.30872282533333334
74.7,0.30936069199999994
74.92,0.3109521586666667
75.14,0.31476746533333333
75.36,0.320651396
75.58,0.3261394493333333
75.8,0.3310330226666666
76.02,0.33444608933333336
76.24,0.3361930226666667
76.46000000000001,0.3371252893333333
76.68,0.3369546226666667
76.9,0.335249556
77.12,0.3326507293333333
77.34,0.329505636
77.56,0.32345400933333335
77.78,0.32274651599999993
78.0,0.3217910493333333
78.22,0.32107184933333327
78.44,0.3212166493333333
78.66,0.322295316
78.88,0.3239702493333333
79.1,0.32597798266666667
79.32,0.3265843826666667
79.53999999999999,0.331582116
79.76,0.33615848800000003
79.98,0.33832539466666667
80.2,0.3375479813333333
80.42,0.3364390213333333
80.64,0.334984088
80.86,0.33476648800000003
81.08,0.33863848799999996
81.52,0.333224568
81.74,0.3273162746666667
81.96000000000001,0.321651128
82.18,0.31751846133333333
82.4,0.31548779466666665
82.62,0.31381046133333335
82.84,0.3115197946666667
83.06,0.3097400613333333
83.5,0.30698406133333334
83.72,0.30375099466666666
83.94,0.301706728
84.16,0.30077872799999994
84.38,0.30108619466666664
84.6,0.3019716613333333
84.82,0.302082328
85.03999999999999,0.300597528
85.26,0.29952366133333336
85.48,0.2990585946666667
85.7,0.29934366133333334
85.92,0.3010012613333333
86.14,0.303482328
86.36,0.306703128
86.58,0.30827726133333333
86.8,0.31119512800000004
87.02,0.3186889866666667
87.24,0.32601770666666663
87.46000000000001,0.32990944
87.68,0.33236304
87.9,0.33395904
88.12,0.33657397333333333
88.34,0.34081184
88.56,0.3431739733333333
88.78,0.34133904
89.0,0.34018037333333334
89.22,0.3371057066666666
89.44,0.3332690933333333
89.66,0.3298251466666666
89.88,0.32763368
90.1,0.32886832
90.32,0.3319873333333333
90.53999999999999,0.3346887733333333
90.76,0.33639472000000004
90.98,0.33642538666666666
91.2,0.3355904533333333
91.42,0.33428938666666663
91.64,0.3328797866666666
91.86,0.3312200533333333
92.08,0.32933392
92.3,0.32701791999999996
92.52,0.32359312
93.4,0.3177585866666667
93.62,0.3125918933333333
93.84,0.30803650666666665
94.06,0.3047330933333333
94.72,0.3003414133333333
94.94,0.2997510133333333
95.16,0.30221464000000003
95.38,0.30373253333333333
95.6,0.30172700266666663
96.26,0.2999510026666667
96.48,0.2973793493333333
96.7,0.29426198933333336
96.92,0.290385696
97.14,0.28602766933333335
97.36,0.28196222933333337
97.58,0.278479456
97.8,0.276438656
98.02,0.275969056
98.24,0.2757237226666667
98.46,0.27672905600000003
98.68,0.28037828266666665
98.9,0.2837227093333333
99.12,0.28518430933333333
99.34,0.285314176
99.56,0.28345924266666667
99.78,0.29011396266666667
100.0,0.29512972266666665
100.22,0.29824580266666667
100.44,0.298820736
100.66,0.2974077493333333
100.88,0.295975696
101.1,0.2948690293333333
101.32,0.2923624693333333
101.54,0.29013526933333333
102.2,0.292482736
102.42,0.2950806026666667
102.64,0.297356336
102.86,0.299408336
103.08,0.301281936
103.3,0.303445936
103.52,0.30698486933333335
103.74,0.31138540266666664
103.96,0.3162822026666666
104.18,0.3208360693333333
104.4,0.323955536
104.62,0.32544993599999994
104.84,0.3240654026666666
105.06,0.321878736
105.28,0.31958220266666665
105.5,0.3172272693333333
105.72,0.314995536
105.94,0.31192780266666664
106.16,0.30789340266666665
106.38,0.303753136
106.6,0.3002632693333333
106.82,0.29796300266666664
107.04,0.29621073600000003
107.26,0.29439873600000005
107.48,0.29450993599999997
107.7,0.29738086933333335
107.92,0.3007841493333333
108.14,0.3037126293333334
108.36,0.30592996266666667
108.58,0.3079382293333333
108.8,0.31016462933333333
109.02,0.31247556266666665
109.24,0.3145302293333333
109.46000000000001,0.3162571626666667
109.68,0.3177158293333333
109.9,0.31897129599999996
110.12,0.31990596266666665
110.34,0.32050676266666667
110.56,0.32056436266666666
110.78,0.319984896
111.44,0.3186859893333333
111.66,0.32090532266666666
111.88,0.32309361600000003
112.1,0.32526180266666666
112.32,0.3270086826666666
112.53999999999999,0.331086496
112.76,0.33325502933333334
112.98,0.33344382933333333
113.2,0.33403769600000005
113.42,0.33655984
113.64,0.3364404266666666
113.86,0.33645453333333336
114.08,0.33887589333333334
114.3,0.34332045333333333
114.52,0.34946461333333334
114.74,0.35575912
114.96000000000001,0.35766055999999996
115.18,0.3557171466666666
115.4,0.3520930666666667
115.62,0.35038834666666674
115.84,0.3506795466666667
116.06,0.3513502133333333
116.28,0.35233074666666664
116.5,0.35320328
116.72,0.35360381333333335
116.94,0.35355874666666665
117.16,0.35601128000000004
117.38,0.35877768
117.6,0.3624894133333333
117.82,0.3660199466666667
118.03999999999999,0.36703399999999997
118.26,0.36844152
118.48,0.3710225866666667
118.7,0.37489448
118.92,0.37970434666666664
119.14,0.38150354666666664
119.36,0.38488808
119.58,0.38953207999999995
119.8,0.39385234666666663
120.02,0.3959502133333333
120.24,0.3953494133333333
120.9,0.39278514666666664
121.12,0.3910603466666666
121.34,0.3891750133333333
121.56,0.38702701333333334
121.78,0.3850179466666666
122.0,0.38338088
122.22,0.38246541333333334
122.44,0.38258728
122.66,0.3837416799999999
122.88,0.38506941333333333
123.1,0.38632007999999995
123.32,0.38727528
123.53999999999999,0.38809528000000004
123.76,0.3890958133333334
123.98,0.38968941333333335
124.2,0.38874354666666666
124.42,0.3858914933333334
124.64,0.38216261333333335
124.86,0.37827639999999996
125.08,0.37457456
125.3,0.37082952
125.52,0.36696994666666666
126.18,0.3617162221333334
126.4,0.3585240621333333
126.62,0.3558445954666666
126.84,0.3543248621333333
127.06,0.3528421954666667
127.28,0.3497707288
127.94,0.35135392879999994
128.16,0.35317499546666664
128.38,0.35420486213333335
128.6,0.35423952880000004
128.82,0.3542371288
129.04,0.35482059546666667
129.26,0.35692163546666666
129.48,0.35798670213333333
129.7,0.3589715021333334
129.92000000000002,0.3599763021333333
130.14,0.3607429688
130.36,0.3618379021333333
130.57999999999998,0.36335630213333336
130.8,0.3650419021333333
131.02,0.36739016879999997
131.24,0.3705475821333333
131.46,0.3743552888
131.68,0.37625390213333326
131.9,0.37345246213333333
132.56,0.36842512879999995
132.78,0.36166840880000006
133.0,0.3546215554666667
133.22,0.35071011546666664
133.88,0.35020651546666665
134.1,0.3507970221333333
134.32,0.34916126213333326
134.54,0.3455461688
134.76,0.3412415554666667
134.98,0.3354726488
135.2,0.33007086213333336
135.42000000000002,0.3261139288
135.64,0.32230619546666667
135.86,0.3177061954666667
136.07999999999998,0.3148907288
136.3,0.3117488621333333
136.52,0.30824072880000003
136.74,0.3064107554666667
136.96,0.30356227546666664
137.18,0.2995909688
137.4,0.29556939546666666
137.62,0.2919157954666666
138.28,0.28936166213333336
138.5,0.2868635288
138.72,0.28444779546666665
138.94,0.28314006213333337
139.16,0.2850029954666667
139.38,0.28994806213333335
139.6,0.29604032880000003
139.82,0.3002077954666667
140.04,0.3031155288
140.26,0.30536486213333336
140.48,0.30732512879999996
140.7,0.30917339546666667
140.92000000000002,0.3112624621333333
141.14,0.31377126213333334
141.36,0.3155043288
141.57999999999998,0.3167461954666667
141.8,0.31702939546666664
142.02,0.3172525954666666
142.24,0.3178493954666667
142.46,0.3182899288
142.68,0.3184539288
142.9,0.3184285954666667
143.12,0.31791107546666664
143.34,0.31667459546666665
144.0,0.31431862213333334
144.22,0.3148372621333333
144.44,0.31654976879999996
144.66,0.3181824088
144.88,0.32108839999999994
145.1,0.3220256266666667
145.32,0.32385869333333334
145.54,0.3247922933333333
145.76,0.3261450933333333
145.98,0.3299568266666667
146.2,0.33016856
146.42000000000002,0.33042296
146.64,0.3315968266666667
146.86,0.33415949333333334
147.07999999999998,0.3376626933333333
147.3,0.34148589333333335
147.52,0.34458322666666663
147.74,0.3459250933333334
148.62,0.34161268533333333
148.84,0.3382898853333333
149.06,0.33596263200000004
149.28,0.33365703199999996
149.5,0.33071489866666665
149.72,0.32723116533333335
149.94,0.322952872
150.16,0.31726990666666666
150.82,0.31307238666666665
151.04,0.31173033333333333
151.26,0.3134282266666667
151.48,0.31661876
151.7,0.31985761333333335
151.92000000000002,0.3222391333333333
152.14,0.3252593733333334
152.8,0.32561897333333334
153.02,0.32715404
153.24,0.33021638666666664
153.46,0.33356694666666664
153.68,0.33647316000000005
153.9,0.33978739999999996
154.12,0.34225532
154.34,0.34299668
154.56,0.3419804133333333
154.78,0.3401465733333333
155.0,0.33808316
155.22,0.3365554
155.44,0.3359803066666667
155.66,0.33597652
155.88,0.33614588
156.76,0.33607825333333335
156.98,0.33686916
157.2,0.33724596
157.42000000000002,0.33638756000000003
